reading_id,soil_moisture,temperature,timestamp,plant_id,botanist_id,last_watered
238,33.904820302743616,11.175500337782484,2024-06-13 10:20:40,5,1,2024-06-12 14:56:18
239,30.762899706209453,10.958002860157354,2024-06-13 10:20:41,6,3,2024-06-12 13:35:35
240,24.988077249502993,11.509616582874402,2024-06-13 10:20:42,8,3,2024-06-12 13:23:01
241,29.970133391304344,10.590002132522788,2024-06-13 10:20:43,9,2,2024-06-12 14:12:43
242,26.183098696239142,13.94264760024114,2024-06-13 10:20:45,10,2,2024-06-12 13:04:57
243,30.147413182584273,9.452204560973309,2024-06-13 10:20:46,11,2,2024-06-12 13:37:24
244,25.327276234774075,12.784344152479473,2024-06-13 10:20:47,12,3,2024-06-12 13:13:51
245,31.58230340604949,9.512367312723379,2024-06-13 10:20:50,13,3,2024-06-12 13:36:47
246,32.09780221260583,18.030021867803885,2024-06-13 10:20:54,14,2,2024-06-12 14:17:54
247,27.32753534411765,9.971010177388193,2024-06-13 10:20:56,15,2,2024-06-12 13:45:31
248,-5.458333992857135,13.276773048582658,2024-06-13 10:21:00,16,2,2024-06-12 13:50:40
249,29.094626404461692,9.761947263033917,2024-06-13 10:21:03,17,1,2024-06-12 14:02:40
250,30.59337789320388,9.01567138977212,2024-06-13 10:21:07,18,1,2024-06-12 14:29:39
251,29.73067665144454,13.854231896164903,2024-06-13 10:21:08,19,2,2024-06-12 13:24:30
252,31.284799130009773,8.585892335464417,2024-06-13 10:21:09,20,1,2024-06-12 14:49:34
253,31.783955122507123,11.007736864746514,2024-06-13 10:21:10,21,3,2024-06-12 14:23:59
254,25.276823112085765,9.53854354485382,2024-06-13 10:21:11,22,2,2024-06-12 13:03:26
255,29.719110605970144,13.049918495397062,2024-06-13 10:21:12,24,1,2024-06-12 14:44:00
256,30.864726770970776,11.58280255854801,2024-06-13 10:21:13,25,2,2024-06-12 13:58:41
257,33.87669848666053,14.14541576604536,2024-06-13 10:21:14,26,1,2024-06-12 14:23:18
258,33.48476841086749,10.749340793359915,2024-06-13 10:21:14,27,1,2024-06-12 14:58:20
259,29.018144753246744,12.404028392965424,2024-06-13 10:21:14,28,1,2024-06-12 14:37:02
260,28.72560275678204,10.822300444598437,2024-06-13 10:21:16,29,2,2024-06-12 13:11:24
261,32.26686347513812,14.501373407338388,2024-06-13 10:21:17,30,1,2024-06-12 13:55:19
262,26.40847068269231,13.351246005106049,2024-06-13 10:21:18,31,2,2024-06-12 13:05:43
263,28.9411711749503,10.600577213418768,2024-06-13 10:21:19,32,2,2024-06-12 14:29:54
264,29.20125038737865,13.536369561828149,2024-06-13 10:21:20,33,1,2024-06-12 14:05:58
265,27.65496619980506,13.399825877062886,2024-06-13 10:21:21,34,2,2024-06-12 13:44:15
266,26.044996476801572,12.911003705806728,2024-06-13 10:21:22,35,1,2024-06-12 13:32:46
267,31.683196673872175,12.292189150530946,2024-06-13 10:21:24,36,2,2024-06-12 14:09:55
268,31.56016344571428,11.0787124373189,2024-06-13 10:21:24,37,3,2024-06-12 14:23:43
269,31.051565861395346,11.061661682712895,2024-06-13 10:21:25,38,2,2024-06-12 13:46:06
270,28.176053704477624,13.388910444828959,2024-06-13 10:21:26,39,1,2024-06-12 14:18:23
271,32.57947519408502,9.07211724744276,2024-06-13 10:21:27,40,3,2024-06-12 14:05:38
272,30.806837839552244,24.607273446920537,2024-06-13 10:21:28,41,1,2024-06-12 13:45:13
273,32.13754743243243,26.900759162720234,2024-06-13 10:21:28,42,1,2024-06-12 14:49:43
274,28.570559525262155,9.557689618582323,2024-06-13 10:21:29,44,2,2024-06-12 13:32:40
275,29.37320182108317,8.990365385689588,2024-06-13 10:21:31,45,2,2024-06-12 14:04:23
276,33.21132469797422,13.306709439594218,2024-06-13 10:21:31,46,3,2024-06-12 14:12:39
277,-7.249372478571431,13.336185843079726,2024-06-13 10:21:32,47,3,2024-06-12 13:30:18
278,30.249225118164063,14.88740506147801,2024-06-13 10:21:33,48,1,2024-06-12 14:31:09
279,28.902398101068997,12.241472077700008,2024-06-13 10:21:34,49,3,2024-06-12 14:02:15
280,29.224912600193605,13.156006169280918,2024-06-13 10:21:34,50,1,2024-06-12 14:03:04
281,29.138247303969024,13.158477276203284,2024-06-13 10:23:04,0,1,2024-06-12 14:03:04
282,27.443742641732285,12.026675156084595,2024-06-13 10:23:09,1,2,2024-06-12 13:54:32
283,33.81373144676978,9.117182248968533,2024-06-13 10:23:12,2,1,2024-06-12 14:10:54
284,32.392815999039385,9.987818278620708,2024-06-13 10:23:15,3,3,2024-06-12 14:50:16
285,24.441344779324055,11.322135339690103,2024-06-13 10:23:17,4,1,2024-06-12 13:16:25
286,33.75599881740776,11.179343325001925,2024-06-13 10:23:17,5,1,2024-06-12 14:56:18
287,30.61799678220575,10.960696176535597,2024-06-13 10:23:18,6,3,2024-06-12 13:35:35
288,24.83346827534791,11.514707323086444,2024-06-13 10:23:18,8,3,2024-06-12 13:23:01
289,29.819585920772937,10.592670419414311,2024-06-13 10:23:19,9,2,2024-06-12 14:12:43
290,26.03267024300868,13.94490949431517,2024-06-13 10:23:21,10,2,2024-06-12 13:04:57
291,30.002168383895125,9.455766849762725,2024-06-13 10:23:21,11,2,2024-06-12 13:37:24
292,25.174986872298618,12.790176155242122,2024-06-13 10:23:22,12,3,2024-06-12 13:13:51
293,31.442627516956918,9.517618893770896,2024-06-13 10:23:23,13,3,2024-06-12 13:36:47
294,31.95719944873001,13.124975740518401,2024-06-13 10:23:23,14,2,2024-06-12 14:17:54
295,27.1825885754902,9.974002330625392,2024-06-13 10:23:24,15,2,2024-06-12 13:45:31
296,-5.664792507142849,13.279758940933377,2024-06-13 10:23:25,16,2,2024-06-12 13:50:40
297,28.955498348205623,9.76607482844976,2024-06-13 10:23:26,17,1,2024-06-12 14:02:40
298,30.457658391262143,9.020902175430038,2024-06-13 10:23:27,18,1,2024-06-12 14:29:39
299,29.600784660764205,11.502228022710607,2024-06-13 10:23:28,19,2,2024-06-12 13:24:30
300,31.14839893157381,8.590446202873201,2024-06-13 10:23:29,20,1,2024-06-12 14:49:34
301,31.65162001519468,11.01123931214654,2024-06-13 10:23:29,21,3,2024-06-12 14:23:59
302,25.141487188109167,9.54139378787679,2024-06-13 10:23:30,22,2,2024-06-12 13:03:26
303,29.5801632875622,13.052497006752912,2024-06-13 10:23:31,24,1,2024-06-12 14:44:00
304,30.733492568331755,11.585089394303504,2024-06-13 10:23:32,25,2,2024-06-12 13:58:41
305,33.747721207911695,14.1476514060186,2024-06-13 10:23:34,26,1,2024-06-12 14:23:18
306,33.350649481410855,10.751929117236255,2024-06-13 10:23:35,27,1,2024-06-12 14:58:20
307,28.877392116883115,12.405959292149047,2024-06-13 10:23:35,28,1,2024-06-12 14:37:02
308,28.5942011496726,10.826878984141795,2024-06-13 10:23:36,29,2,2024-06-12 13:11:24
309,32.13720206077349,14.503989013781615,2024-06-13 10:23:37,30,1,2024-06-12 13:55:19
310,26.27307045288461,13.354111422646707,2024-06-13 10:23:39,31,2,2024-06-12 13:05:43
311,28.80134143538767,10.60270974533974,2024-06-13 10:23:39,32,2,2024-06-12 14:29:54
312,29.065683541747575,13.540209113766242,2024-06-13 10:23:40,33,1,2024-06-12 14:05:58
313,27.51887865789473,13.40308451419097,2024-06-13 10:23:40,34,2,2024-06-12 13:44:15
314,25.908205737413624,12.915897529190174,2024-06-13 10:23:40,35,1,2024-06-12 13:32:46
315,31.55326981203008,12.29662181620266,2024-06-13 10:23:42,36,2,2024-06-12 14:09:55
316,31.428142715238096,11.081168257074026,2024-06-13 10:23:43,37,3,2024-06-12 14:23:43
317,30.922028750697677,11.064302108159875,2024-06-13 10:23:44,38,2,2024-06-12 13:46:06
318,28.037013478606966,13.392189257710397,2024-06-13 10:23:45,39,1,2024-06-12 14:18:23
319,32.45051436691311,9.076617783648002,2024-06-13 10:23:46,40,3,2024-06-12 14:05:38
320,30.67710683208955,11.744917987583204,2024-06-13 10:23:47,41,1,2024-06-12 13:45:13
321,32.00235713320464,9.856501949615517,2024-06-13 10:23:48,42,1,2024-06-12 14:49:43
322,28.433463591992364,9.561571605318505,2024-06-13 10:23:53,44,2,2024-06-12 13:32:40
323,29.232620724371372,8.995306134595166,2024-06-13 10:23:56,45,2,2024-06-12 14:04:23
324,-7.460626784285708,13.338446165847081,2024-06-13 10:24:00,47,3,2024-06-12 13:30:18
325,30.103339885742187,14.889507849036134,2024-06-13 10:24:03,48,1,2024-06-12 14:31:09
326,28.754583603498546,9.38081065339652,2024-06-13 10:24:06,49,3,2024-06-12 14:02:15
327,29.076807487899316,13.160258098789644,2024-06-13 10:24:07,50,1,2024-06-12 14:03:04
